name,country,subcountry,geonameid,timezone
les Escaldes,Andorra,Escaldes-Engordany,3040051,Europe/Andorra
Andorra la Vella,Andorra,Andorra la Vella,3041563,Europe/Andorra
Warīsān,United Arab Emirates,Dubai,290503,Asia/Dubai
Umm Suqaym,United Arab Emirates,Dubai,290581,Asia/Dubai
Umm Al Quwain City,United Arab Emirates,UmmalQaywayn,290594,Asia/Dubai
Ţarīf Kalbā,United Arab Emirates,Fujairah,290680,Asia/Dubai
Ar Rāshidīyah,United Arab Emirates,Dubai,291061,Asia/Dubai
Ras Al Khaimah City,United Arab Emirates,Ra's al Khaymah,291074,Asia/Dubai
Zayed City,United Arab Emirates,Abu Dhabi,291580,Asia/Dubai
Khawr Fakkān,United Arab Emirates,Sharjah,291696,Asia/Dubai
Kalbā,United Arab Emirates,Sharjah,291763,Asia/Dubai
Jumayrā,United Arab Emirates,Dubai,291775,Asia/Dubai
Dubai,United Arab Emirates,Dubai,292223,Asia/Dubai
Dibba Al-Fujairah,United Arab Emirates,Fujairah,292231,Asia/Dubai
Dibba Al-Hisn,United Arab Emirates,Fujairah,292239,Asia/Dubai
Dayrah,United Arab Emirates,Dubai,292261,Asia/Dubai
Sharjah,United Arab Emirates,Sharjah,292672,Asia/Dubai
Ar Ruways,United Arab Emirates,Abu Dhabi,292688,Asia/Dubai
Ḩattā,United Arab Emirates,Dubai,292862,Asia/Dubai
Al Fujairah City,United Arab Emirates,Fujairah,292878,Asia/Dubai
Al Ain City,United Arab Emirates,Abu Dhabi,292913,Asia/Dubai
Ajman City,United Arab Emirates,Ajman,292932,Asia/Dubai
Adh Dhayd,United Arab Emirates,Sharjah,292953,Asia/Dubai
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968,Asia/Dubai
Abū Hayl,United Arab Emirates,Dubai,292991,Asia/Dubai
As Saţwah,United Arab Emirates,Dubai,385024,Asia/Dubai
Al Ḩamīdīyah,United Arab Emirates,Ajman,414901,Asia/Dubai
Al Waheda,United Arab Emirates,Dubai,6691079,Asia/Dubai
Al Karama,United Arab Emirates,Dubai,6691091,Asia/Dubai
The Palm Jumeirah,United Arab Emirates,Dubai,6691113,Asia/Dubai
Bur Dubai,United Arab Emirates,Dubai,7289825,Asia/Dubai
Khalifah A City,United Arab Emirates,Abu Dhabi,8057551,Asia/Dubai
Mirdif,United Arab Emirates,Dubai,8200824,Asia/Dubai
Hawr al ‘Anz,United Arab Emirates,Dubai,8201275,Asia/Dubai
Mankhūl,United Arab Emirates,Dubai,8225407,Asia/Dubai
Nāyf,United Arab Emirates,Dubai,8226485,Asia/Dubai
Al Murar al Qadīm,United Arab Emirates,Dubai,8226590,Asia/Dubai
Al Warqaa,United Arab Emirates,Dubai,8469658,Asia/Dubai
International City,United Arab Emirates,Dubai,8469668,Asia/Dubai
Dubai Marina,United Arab Emirates,Dubai,8469788,Asia/Dubai
Dubai Internet City,United Arab Emirates,Dubai,8469811,Asia/Dubai
Al Safa,United Arab Emirates,Dubai,8469819,Asia/Dubai
Ar Rumaylah,United Arab Emirates,Ajman,8475866,Asia/Dubai
Al Jurf,United Arab Emirates,Ajman,8475923,Asia/Dubai
Al Majaz,United Arab Emirates,Sharjah,8476509,Asia/Dubai
Dubai Festival City,United Arab Emirates,Dubai,8541937,Asia/Dubai
Dubai International Financial Centre,United Arab Emirates,Dubai,8541977,Asia/Dubai
Dubai Investments Park,United Arab Emirates,Dubai,11048853,Asia/Dubai
Jebel Ali,United Arab Emirates,Dubai,11524601,Asia/Dubai
Bani Yas City,United Arab Emirates,Abu Dhabi,12042052,Asia/Dubai
Musaffah,United Arab Emirates,Abu Dhabi,12042053,Asia/Dubai
Al Shamkhah City,United Arab Emirates,Abu Dhabi,12047416,Asia/Dubai
Reef Al Fujairah City,United Arab Emirates,Fujairah,12047417,Asia/Dubai
Al Bada'a,United Arab Emirates,Dubai,13118420,Asia/Dubai
Al Muteena,United Arab Emirates,Dubai,13118421,Asia/Dubai
Al Mizhar First,United Arab Emirates,Dubai,13118422,Asia/Dubai
Dubai Silicon Oasis,United Arab Emirates,Dubai,13118424,Asia/Dubai
Al Furjan,United Arab Emirates,Dubai,13118431,Asia/Dubai
Business Bay,United Arab Emirates,Dubai,13118432,Asia/Dubai
Al Qusais 1,United Arab Emirates,Dubai,13118433,Asia/Dubai
Halwan,United Arab Emirates,Sharjah,13118437,Asia/Dubai
Al Sajaah,United Arab Emirates,Sharjah,13118438,Asia/Dubai
Lahbab,United Arab Emirates,Dubai,13118439,Asia/Dubai
Mohammed Bin Zayed City,United Arab Emirates,Abu Dhabi,13118447,Asia/Dubai
Zaranj,Afghanistan,Nimroz,1120985,Asia/Kabul
Bāzār-e Yakāwlang,Afghanistan,Bamyan,1121381,Asia/Kabul
Taloqan,Afghanistan,Takhar,1123004,Asia/Kabul
Shīnḏanḏ,Afghanistan,Herat,1125155,Asia/Kabul
Shibirghān,Afghanistan,Jowzjan,1125444,Asia/Kabul
Shahrak,Afghanistan,Ghowr,1125896,Asia/Kabul
Sar-e Pul,Afghanistan,Sar-e Pol Province,1127110,Asia/Kabul
Sang-e Chārak,Afghanistan,Sar-e Pol Province,1127628,Asia/Kabul
Aībak,Afghanistan,Samangan,1127768,Asia/Kabul
Rustāq,Afghanistan,Takhar,1128265,Asia/Kabul
Qarqīn,Afghanistan,Jowzjan,1129516,Asia/Kabul
Qarāwul,Afghanistan,Kunduz,1129648,Asia/Kabul
Pul-e Khumrī,Afghanistan,Baghlan,1130490,Asia/Kabul
Paghmān,Afghanistan,Kabul,1131316,Asia/Kabul
Nīlī,Afghanistan,Daykundi,1131833,Asia/Kabul
Nahrīn,Afghanistan,Baghlan,1132495,Asia/Kabul
Maymana,Afghanistan,Faryab,1133453,Asia/Kabul
Mehtar Lām,Afghanistan,Laghman,1133574,Asia/Kabul
Mazār-e Sharīf,Afghanistan,Balkh,1133616,Asia/Kabul
Lashkar Gāh,Afghanistan,Helmand,1134720,Asia/Kabul
Kushk,Afghanistan,Herat,1135158,Asia/Kabul
Kunduz,Afghanistan,Kunduz,1135689,Asia/Kabul
Khōst,Afghanistan,Khowst,1136469,Asia/Kabul
Khulm,Afghanistan,Balkh,1136575,Asia/Kabul
Khāsh,Afghanistan,Nimroz,1136863,Asia/Kabul
Khān Neshīn,Afghanistan,Helmand,1137079,Asia/Kabul
Khanabad,Afghanistan,Kunduz,1137168,Asia/Kabul
Karukh,Afghanistan,Herat,1137807,Asia/Kabul
Kandahār,Afghanistan,Kandahar,1138336,Asia/Kabul
Kabul,Afghanistan,Kabul,1138958,Asia/Kabul
Jalālābād,Afghanistan,Nangarhar,1139715,Asia/Kabul
Jabal os Saraj,Afghanistan,Parwan,1139807,Asia/Kabul
Herāt,Afghanistan,Herat,1140026,Asia/Kabul
Ghormach,Afghanistan,Badghis,1141089,Asia/Kabul
Ghazni,Afghanistan,Ghazni,1141269,Asia/Kabul
Gereshk,Afghanistan,Helmand,1141540,Asia/Kabul
Gardez,Afghanistan,Paktia,1141857,Asia/Kabul
Fayzabad,Afghanistan,Badakhshan,1142170,Asia/Kabul
Farah,Afghanistan,Farah,1142264,Asia/Kabul
Eslam Qaleh,Afghanistan,Herat,1142404,Asia/Kabul
Charikar,Afghanistan,Parwan,1145352,Asia/Kabul
Baraki Barak,Afghanistan,Logar,1147066,Asia/Kabul
Bāmyān,Afghanistan,Bamyan,1147242,Asia/Kabul
Balkh,Afghanistan,Balkh,1147290,Asia/Kabul
Baghlān,Afghanistan,Baghlan,1147540,Asia/Kabul
Ārt Khwājah,Afghanistan,Takhar,1148106,Asia/Kabul
Āsmār,Afghanistan,Kunar,1148205,Asia/Kabul
Asadābād,Afghanistan,Kunar,1148311,Asia/Kabul
Andkhōy,Afghanistan,Faryab,1148658,Asia/Kabul
Bāzārak,Afghanistan,Panjshir,1429434,Asia/Kabul
Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhar,1469706,Asia/Kabul
Saint John’s,Antigua and Barbuda,Saint John Parish,3576022,America/Antigua
The Valley,Anguilla,The Valley,3573374,America/Anguilla
Sarandë,Albania,Vlore County,363243,Europe/Tirane
Pogradec,Albania,Korce County,781988,Europe/Tirane
Librazhd,Albania,Elbasan County,782519,Europe/Tirane
Kukës,Albania,Kukes County,782661,Europe/Tirane
Korçë,Albania,Korce County,782756,Europe/Tirane
Gjirokastër,Albania,Gjirokaster County,783148,Europe/Tirane
Elbasan,Albania,Elbasan County,783263,Europe/Tirane
Bulqizë,Albania,Diber County,783508,Europe/Tirane
Vlorë,Albania,Vlore County,3183719,Europe/Tirane
Tirana,Albania,Tirana,3183875,Europe/Tirane
Shkodër,Albania,Shkoder County,3184081,Europe/Tirane
Peqin,Albania,Elbasan County,3184497,Europe/Tirane
Patos Fshat,Albania,Fier County,3184517,Europe/Tirane
Patos,Albania,Fier County,3184518,Europe/Tirane
Lushnjë,Albania,Fier County,3184862,Europe/Tirane
Lezhë,Albania,Lezhe County,3184935,Europe/Tirane
Kuçovë,Albania,Berat County,3185060,Europe/Tirane
Krujë,Albania,Durres County,3185082,Europe/Tirane
Kavajë,Albania,Tirana,3185211,Europe/Tirane
Fier-Çifçi,Albania,Fier County,3185670,Europe/Tirane
Fier,Albania,Fier County,3185672,Europe/Tirane
Durrës,Albania,Durres County,3185728,Europe/Tirane
Berat,Albania,Berat County,3186084,Europe/Tirane
Kapan,Armenia,Syunik,174875,Asia/Yerevan
Goris,Armenia,Syunik,174895,Asia/Yerevan
Artashat,Armenia,Ararat,174979,Asia/Yerevan
Ararat,Armenia,Ararat,174991,Asia/Yerevan
Yerevan,Armenia,Yerevan,616052,Asia/Yerevan
Vagharshapat,Armenia,Armavir,616062,Asia/Yerevan
Sevan,Armenia,Gegharkunik,616250,Asia/Yerevan
Masis,Armenia,Ararat,616435,Asia/Yerevan
Vanadzor,Armenia,Lori,616530,Asia/Yerevan
Gavar,Armenia,Gegharkunik,616599,Asia/Yerevan
Ijevan,Armenia,Tavush,616627,Asia/Yerevan
Hrazdan,Armenia,Kotayk,616629,Asia/Yerevan
Armavir,Armenia,Armavir,616631,Asia/Yerevan
Gyumri,Armenia,Shirak,616635,Asia/Yerevan
Dilijan,Armenia,Tavush,616752,Asia/Yerevan
Davtashen,Armenia,Yerevan,616758,Asia/Yerevan
Charentsavan,Armenia,Kotayk,616785,Asia/Yerevan
Avan,Armenia,Yerevan,616864,Asia/Yerevan
Ashtarak,Armenia,Aragatsotn,616877,Asia/Yerevan
Artik,Armenia,Shirak,616887,Asia/Yerevan
Abovyan,Armenia,Kotayk,617026,Asia/Yerevan
Erebuni,Armenia,Yerevan,866152,Asia/Yerevan
Nor Nork,Armenia,Yerevan,866153,Asia/Yerevan
Ajapnyak,Armenia,Yerevan,866164,Asia/Yerevan
Kanaker-Zeytun,Armenia,Yerevan,7647071,Asia/Yerevan
Malatia-Sebastia,Armenia,Yerevan,7670934,Asia/Yerevan
Kentron,Armenia,Yerevan,7670941,Asia/Yerevan
Shengavit,Armenia,Yerevan,11111027,Asia/Yerevan
Arabkir,Armenia,Yerevan,13156582,Asia/Yerevan
Saurimo,Angola,Lunda Sul,145531,Africa/Luanda
Lucapa,Angola,Luanda Norte,145724,Africa/Luanda
Dundo,Angola,Luanda Norte,145757,Africa/Luanda
Chitato,Angola,Luanda Norte,145778,Africa/Luanda
Cassanguidi,Angola,Luanda Norte,145872,Africa/Luanda
Lumbala,Angola,Moxico,876130,Africa/Luanda
Luau,Angola,Moxico,876177,Africa/Luanda
Cazombo,Angola,Moxico,876482,Africa/Luanda
Nzagi,Angola,Cuanza Norte,2236360,Africa/Luanda
Uíge,Angola,Uige,2236568,Africa/Luanda
Tombôco,Angola,Zaire,2236716,Africa/Luanda
Soyo,Angola,Zaire,2236967,Africa/Luanda
Songo,Angola,Uige,2236991,Africa/Luanda
Sanza Pombo,Angola,Uige,2237128,Africa/Luanda
Ambrizette,Angola,Zaire,2239001,Africa/Luanda
Negage,Angola,Uige,2239069,Africa/Luanda
N'dalatando,Angola,Cuanza Norte,2239076,Africa/Luanda
Mussende,Angola,Kwanza Sul,2239149,Africa/Luanda
Mbanza Kongo,Angola,Zaire,2239520,Africa/Luanda
Maquela do Zombo,Angola,Uige,2239732,Africa/Luanda
Malanje,Angola,Malanje,2239862,Africa/Luanda
Lucala,Angola,Cuanza Norte,2240393,Africa/Luanda
Lubalo,Angola,Luanda Norte,2240416,Africa/Luanda
Luanda,Angola,Luanda,2240449,Africa/Luanda
Cunda diá Baze,Angola,Malanje,2240686,Africa/Luanda
Golungo Alto,Angola,Cuanza Norte,2240975,Africa/Luanda
Dondo,Angola,Cuanza Norte,2241371,Africa/Luanda
Dondo,Angola,Cuanza Norte,2241372,Africa/Luanda
Cuímba,Angola,Zaire,2241623,Africa/Luanda
Cuilo,Angola,Luanda Norte,2241635,Africa/Luanda
Cuango-Luzamba,Angola,Luanda Norte,2241668,Africa/Luanda
Cazombo,Angola,Cuanza Norte,2241954,Africa/Luanda
Caxito,Angola,Bengo,2242001,Africa/Luanda
Cangandala,Angola,Malanje,2242584,Africa/Luanda
Camabatela,Angola,Cuanza Norte,2242885,Africa/Luanda
Cacuso,Angola,Malanje,2243127,Africa/Luanda
Cabinda,Angola,Cabinda,2243271,Africa/Luanda
Buco Zau,Angola,Cabinda,2243458,Africa/Luanda
Belize,Angola,Cabinda,2243646,Africa/Luanda
Barra do Dande,Angola,Bengo,2243677,Africa/Luanda
Bailundo,Angola,Malanje,2243866,Africa/Luanda
Gama,Angola,Bengo,2591933,Africa/Luanda
Xangongo,Angola,Cunene,3345492,Africa/Luanda
Alto Hama,Angola,Huambo,3345495,Africa/Luanda
Virei,Angola,Namibe,3345517,Africa/Luanda
Ucuma,Angola,Huambo,3345668,Africa/Luanda
Ucu Seles,Angola,Kwanza Sul,3345669,Africa/Luanda
Tômbua,Angola,Namibe,3345790,Africa/Luanda
Sumbe,Angola,Kwanza Sul,3346015,Africa/Luanda
Quipungo,Angola,Huila,3346497,Africa/Luanda
Quibala,Angola,Kwanza Sul,3346598,Africa/Luanda
Porto Amboim,Angola,Kwanza Sul,3346661,Africa/Luanda
Ondjiva,Angola,Cunene,3346821,Africa/Luanda
Nharêa,Angola,Bie,3346942,Africa/Luanda
Mossamedes,Angola,Namibe,3347019,Africa/Luanda
Mungo,Angola,Huambo,3347111,Africa/Luanda
Menongue,Angola,Cuando Cobango,3347353,Africa/Luanda
Matala,Angola,Huila,3347424,Africa/Luanda
Luquembo,Angola,Malanje,3347615,Africa/Luanda
Luena,Angola,Moxico,3347719,Africa/Luanda
Lubango,Angola,Huila,3347762,Africa/Luanda
Longonjo,Angola,Huambo,3347853,Africa/Luanda
Londuimbali,Angola,Huambo,3347880,Africa/Luanda
Lobito,Angola,Benguela,3347939,Africa/Luanda
Cuíto,Angola,Bie,3348078,Africa/Luanda
Catchiungo,Angola,Huambo,3348094,Africa/Luanda
Huambo,Angola,Huambo,3348313,Africa/Luanda
Ganda,Angola,Benguela,3348581,Africa/Luanda
Gabela,Angola,Kwanza Sul,3348613,Africa/Luanda
Dombe Grande,Angola,Benguela,3348896,Africa/Luanda
Cuemba,Angola,Bie,3349181,Africa/Luanda
Cubal,Angola,Benguela,3349229,Africa/Luanda
Conda,Angola,Kwanza Sul,3349324,Africa/Luanda
Chitembo,Angola,Bie,3349515,Africa/Luanda
Chinguar,Angola,Bie,3349723,Africa/Luanda
Cela,Angola,Kwanza Sul,3350123,Africa/Luanda
Catumbela,Angola,Benguela,3350246,Africa/Luanda
Catabola,Angola,Bie,3350372,Africa/Luanda
Capunda,Angola,Kwanza Sul,3350550,Africa/Luanda
Camucuio,Angola,Namibe,3350867,Africa/Luanda
Cambundi Catembo,Angola,Malanje,3350917,Africa/Luanda
Camacupa,Angola,Bie,3351014,Africa/Luanda
Caluquembe,Angola,Huila,3351023,Africa/Luanda
Calulo,Angola,Kwanza Sul,3351064,Africa/Luanda
Caála,Angola,Huambo,3351500,Africa/Luanda
Bocoio,Angola,Benguela,3351599,Africa/Luanda
Benguela,Angola,Benguela,3351663,Africa/Luanda
Balombo,Angola,Benguela,3351764,Africa/Luanda
Baía Farta,Angola,Benguela,3351786,Africa/Luanda
Andulo,Angola,Bie,3351884,Africa/Luanda
Cambundi,Angola,Malanje,7745410,Africa/Luanda
Cafunfo,Angola,Luanda Norte,7768322,Africa/Luanda
Santa Clara,Angola,Kwanza Sul,7855993,Africa/Luanda
Quissecula,Angola,Kwanza Sul,7860624,Africa/Luanda
Cambundi,Angola,Malanje,7900710,Africa/Luanda
Zárate,Argentina,Buenos Aires,3427213,America/Argentina/Buenos_Aires
Colonia Wanda,Argentina,Misiones,3427327,America/Argentina/Cordoba
Villa Ortúzar,Argentina,Buenos Aires F.D.,3427387,America/Argentina/Buenos_Aires
Villa Ocampo,Argentina,Santa Fe,3427388,America/Argentina/Cordoba
Villa Lugano,Argentina,Buenos Aires F.D.,3427408,America/Argentina/Buenos_Aires
Villaguay,Argentina,Entre Rios,3427428,America/Argentina/Cordoba
Villa Gesell,Argentina,Buenos Aires,3427431,America/Argentina/Buenos_Aires
Villa de Mayo,Argentina,Buenos Aires,3427453,America/Argentina/Buenos_Aires
Tortuguitas,Argentina,Buenos Aires,3427687,America/Argentina/Buenos_Aires
Tigre,Argentina,Buenos Aires,3427761,America/Argentina/Buenos_Aires
Tandil,Argentina,Buenos Aires,3427833,America/Argentina/Buenos_Aires
San Vicente,Argentina,Misiones,3428068,America/Argentina/Cordoba
Santo Tomé,Argentina,Corrientes,3428071,America/Argentina/Cordoba
Santos Lugares,Argentina,Buenos Aires,3428075,America/Argentina/Buenos_Aires
Santa Elena,Argentina,Entre Rios,3428359,America/Argentina/Cordoba
San Pedro,Argentina,Buenos Aires,3428576,America/Argentina/Buenos_Aires
San Pedro,Argentina,Misiones,3428577,America/Argentina/Cordoba
San Luis del Palmar,Argentina,Corrientes,3428708,America/Argentina/Cordoba
San Lorenzo,Argentina,Corrientes,3428759,America/Argentina/Cordoba
San Javier,Argentina,Santa Fe,3428975,America/Argentina/Cordoba
San Isidro,Argentina,Buenos Aires,3428992,America/Argentina/Buenos_Aires
San Antonio de Padua,Argentina,Buenos Aires,3429244,America/Argentina/Buenos_Aires
Saladas,Argentina,Corrientes,3429403,America/Argentina/Cordoba
Retiro,Argentina,Buenos Aires F.D.,3429576,America/Argentina/Buenos_Aires
Resistencia,Argentina,Chaco,3429577,America/Argentina/Cordoba
Reconquista,Argentina,Santa Fe,3429594,America/Argentina/Cordoba
